4732883.463	2049345.17	1802.569	-0.89
4740260.711	2051069.569	2014.366	13.77
4733205.458	2057405.449	2127.088	-5.59
4733091.517	2056492.891	1954.45	-3.48
4733001.529	2056965.559	1981.408	-4.6
4732903.467	2057445.212	1990.299	-4.91
4732884.868	2057954.18	2023.524	-5.13
4733015.573	2056311.956	1952.983	-2.28
4732834.901	2056687.861	1964.5	-3.07
4732722.86	2057148.52	1996.752	-3.78
4732725.304	2057656.494	2007.804	-4.56
4732616.519	2056339.144	2194.241	-1.36
4732251.102	2056810.842	2100.813	-1.02
4734303.005	2054572.193	2411.321	-3.5
4734011.849	2055090.108	2296.192	-3.34
4734158.279	2055595.622	2251.795	-4.22
4734416.014	2056064.897	2205.731	-3.04
4733999.026	2056329.517	2208.479	-1.64
4733510.4	2056550.593	2133.384	-4.58
4733441.5	2057048.388	2129.391	-4.31
4732827.547	2058229.955	2010.975	-4.71
4731248.428	2050471.747	2111.11	1
4732006.467	2051236.834	2137.603	2.51
4732973.322	2051464.868	2235.471	3.77
4733859.664	2051002.088	2317.256	1.09
4732526.472	2052295.011	2380.482	4.2
4732243.642	2053211.359	2427.719	3.7
4732063.661	2054370.089	2406.571	3.4
4732230.822	2055571.526	2325.947	1.23
4734317.403	2050170.414	2098.681	1.1
4735398.749	2049562.198	2116.528	-0.95
4734691.326	2049322.013	1788.618	-0.42
4733186.203	2050226.421	1753.793	-1.24
4732321.881	2050289.612	1816.68	-1.1
4730347.029	2049937.605	2047.998	-0.93
4731998.374	2057771.731	2334.807	-1.41
4731053.774	2057981.394	2634.844	-0.54
4731606.7	2058581.933	2193.644	-3.08
4731154.25	2057283.326	2646.374	1.5
4731303.75	2055593.762	2885.666	2.15
4731308.913	2054631.418	2949.058	3.52
4731369.286	2053546.074	2672.678	3.99
4731367.498	2052678.497	3007.929	1.21
4731098.753	2051639.218	2655.509	2.17
4732059.777	2056312.42	2402.232	-0.05
4731805.387	2052110.459	2660.153	2.81
4735495.705	2058312.305	2927.404	-0.51
4734944.968	2057477.152	2737.342	-1.32
4737941.901	2058269.897	2366.585	-0.45
4737288.606	2057646.187	2333.425	-0.08
4737230.933	2057108.424	2353.172	1.98
4736366.573	2058089.337	2603.956	-0.12
4735742.963	2057391.357	2505.518	-0.39
4733492.531	2058664.55	2403.849	-3.32
4734522.756	2057196.507	2545.61	-1.68
4733938.999	2057352.923	2369.157	-3.47
4736804.04	2054489.85	2442.736	2.01
4736881.365	2053996.613	2542.674	1.2
4734476.462	2051704.983	1649.988	2.12
4733798.979	2052430.164	1726.835	1.91
4733478.172	2053402.827	1759.402	1.81
4733110.089	2054181.265	1903.289	-0.25
4732829.657	2055198.699	1931.298	-0.19
4734926.503	2054321.067	2741.795	-7.57
4735544.745	2054446.675	2739.027	-8.91
4737306.612	2054228.624	2746.043	1.24
4737759.069	2054119.666	2743.035	3.13
4737370.234	2053706.813	2666.084	3.08
4737041.309	2053274.724	2572.207	0.83
4736823.41	2052857.419	2418.703	1.45
4736892.005	2051368.316	2070.911	2.15
4737122.248	2050902.697	2046.454	1.6
4737596.823	2050550.841	2020.341	0.91
4738065.426	2050535.177	1929.967	0.24
4735749.071	2053611.375	2417.413	-3.25
4735465.024	2053225.941	2405.89	-1.84
4735636.843	2052739.402	2390.515	1.48
4734999.861	2056142.294	2315.961	-4.56
4738690.03	2050631.249	1884.28	-3.72
4739132.767	2050349.165	1903.57	-4.35
4735995.141	2054055.317	2535.127	-6.19
4734295.394	2053488.413	2380.486	0.64
4734342.082	2054074.614	2390.125	-2.12
4734621.797	2054975.716	2417.916	-4.33
4735104.045	2055107.941	2454.086	-5.8
4735482.152	2054814.803	2512.749	-7.45
4736012.927	2054799.148	2522.927	-6.19
4736730.728	2051808.04	2031.563	2.19
4736502.388	2052249.049	2050.348	2.86
4736001.536	2052046.85	2109.385	2.73
4735370.515	2051900.027	2182.301	3.14
4735218.013	2052406.199	2242.922	4.01
4735080.119	2052867.923	2256.031	3.77
4734477.959	2053115.721	2310.671	1.46
4736167.6	2050592.115	1864.098	-2.94
